,definition,type
harangue,a long pompous speech; a tirade,noun
enervate,to sap energy from,verb
laconic,"(describes a person, speech, or style of writing) using very few words",adjective
involved,"complicated, and difficult to comprehend",adjective
innocuous,harmless and doesn’t produce any ill effects,adjective
equivocal,confusing or ambiguous,adjective
egregious,standing out in a negative way; shockingly bad,adjective
mercurial,(of a person) prone to unexpected and unpredictable changes in mood,adjective
maintain,to assert,verb
upbraid,to reproach; to scold,verb
auspicious,"favorable, the opposite of sinister",adjective
ambiguous,open to more than one interpretation,adjective
castigate,to reprimand harshly,verb
venerate,to respect deeply,verb
amorphous,shapeless,adjective
artful,exhibiting artistic skill,adjective
venality,the condition of being susceptible to bribes or corruption,noun
prodigal,rashly or wastefully extravagant,adjective
betray,"to reveal or make known something, usually unintentionally",verb
gregarious,to be likely to socialize with others,adjective
anomalous,not normal,adjective
profligate,spending resources recklessly or wastefully,adjective
parochial,narrowly restricted in scope or outlook,adjective
qualify,to make less severe; to limit (a statement),verb
chastise,to reprimand harshly,verb
prevaricate,to speak in an evasive way,verb
amenable,easily persuaded,adjective
extant,still in existence (usually refers to documents).,adjective
wanting,lacking,adjective
veracious,truthful,adjective
aberration,a deviation from what is normal or expected,noun
impertinent,being disrespectful; improperly forward or bold,adjective
demur,to object or show reluctance,verb
iconoclast,somebody who attacks cherished beliefs or institutions,noun
Magoosh,An online GRE prep product used by tens of thousands of students worldwide. Learn more at gre.magoosh.com.,noun
vindicate,"to clear of accusation, blame, suspicion, or doubt with supporting arguments or proof",verb
